sim_number	index_location_0,index_location_1,index_location_2,index_location_3,index_location_4,index_location_5,index_location_6,index_location_7,index_location_8,index_location_9	R_0_0,R_0_1,R_0_2,R_0_3,R_0_4,R_0_5,R_0_6,R_0_7,R_0_8,R_0_9	S_0_0,S_0_1,S_0_2,S_0_3,S_0_4,S_0_5,S_0_6,S_0_7,S_0_8,S_0_9	beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9 	mu	sampling_rate_0,sampling_rate_1,sampling_rate_2,sampling_rate_3,sampling_rate_4,sampling_rate_5,sampling_rate_6,sampling_rate_7,sampling_rate_8,sampling_rate_9	max_tips	mean_migration_rate	 tree_length	num_tips	mean_branch_length	loc0_imports_per_capita_from_0,loc0_imports_per_capita_from_1,loc0_imports_per_capita_from_2,loc0_imports_per_capita_from_3,loc0_imports_per_capita_from_4,loc0_imports_per_capita_from_5,loc0_imports_per_capita_from_6,loc0_imports_per_capita_from_7,loc0_imports_per_capita_from_8,loc0_imports_per_capita_from_9:loc1_imports_per_capita_from_0,loc1_imports_per_capita_from_1,loc1_imports_per_capita_from_2,loc1_imports_per_capita_from_3,loc1_imports_per_capita_from_4,loc1_imports_per_capita_from_5,loc1_imports_per_capita_from_6,loc1_imports_per_capita_from_7,loc1_imports_per_capita_from_8,loc1_imports_per_capita_from_9:loc2_imports_per_capita_from_0,loc2_imports_per_capita_from_1,loc2_imports_per_capita_from_2,loc2_imports_per_capita_from_3,loc2_imports_per_capita_from_4,loc2_imports_per_capita_from_5,loc2_imports_per_capita_from_6,loc2_imports_per_capita_from_7,loc2_imports_per_capita_from_8,loc2_imports_per_capita_from_9:loc3_imports_per_capita_from_0,loc3_imports_per_capita_from_1,loc3_imports_per_capita_from_2,loc3_imports_per_capita_from_3,loc3_imports_per_capita_from_4,loc3_imports_per_capita_from_5,loc3_imports_per_capita_from_6,loc3_imports_per_capita_from_7,loc3_imports_per_capita_from_8,loc3_imports_per_capita_from_9:loc4_imports_per_capita_from_0,loc4_imports_per_capita_from_1,loc4_imports_per_capita_from_2,loc4_imports_per_capita_from_3,loc4_imports_per_capita_from_4,loc4_imports_per_capita_from_5,loc4_imports_per_capita_from_6,loc4_imports_per_capita_from_7,loc4_imports_per_capita_from_8,loc4_imports_per_capita_from_9:loc5_imports_per_capita_from_0,loc5_imports_per_capita_from_1,loc5_imports_per_capita_from_2,loc5_imports_per_capita_from_3,loc5_imports_per_capita_from_4,loc5_imports_per_capita_from_5,loc5_imports_per_capita_from_6,loc5_imports_per_capita_from_7,loc5_imports_per_capita_from_8,loc5_imports_per_capita_from_9:loc6_imports_per_capita_from_0,loc6_imports_per_capita_from_1,loc6_imports_per_capita_from_2,loc6_imports_per_capita_from_3,loc6_imports_per_capita_from_4,loc6_imports_per_capita_from_5,loc6_imports_per_capita_from_6,loc6_imports_per_capita_from_7,loc6_imports_per_capita_from_8,loc6_imports_per_capita_from_9:loc7_imports_per_capita_from_0,loc7_imports_per_capita_from_1,loc7_imports_per_capita_from_2,loc7_imports_per_capita_from_3,loc7_imports_per_capita_from_4,loc7_imports_per_capita_from_5,loc7_imports_per_capita_from_6,loc7_imports_per_capita_from_7,loc7_imports_per_capita_from_8,loc7_imports_per_capita_from_9:loc8_imports_per_capita_from_0,loc8_imports_per_capita_from_1,loc8_imports_per_capita_from_2,loc8_imports_per_capita_from_3,loc8_imports_per_capita_from_4,loc8_imports_per_capita_from_5,loc8_imports_per_capita_from_6,loc8_imports_per_capita_from_7,loc8_imports_per_capita_from_8,loc8_imports_per_capita_from_9:loc9_imports_per_capita_from_0,loc9_imports_per_capita_from_1,loc9_imports_per_capita_from_2,loc9_imports_per_capita_from_3,loc9_imports_per_capita_from_4,loc9_imports_per_capita_from_5,loc9_imports_per_capita_from_6,loc9_imports_per_capita_from_7,loc9_imports_per_capita_from_8,loc9_imports_per_capita_from_9	 infections_per_capita_0,infections_per_capita_1,infections_per_capita_2,infections_per_capita_3,infections_per_capita_4,infections_per_capita_5,infections_per_capita_6,infections_per_capita_7,infections_per_capita_8,infections_per_capita_9	time_of_first_import_0,time_of_first_import_1,time_of_first_import_2,time_of_first_import_3,time_of_first_import_4,time_of_first_import_5,time_of_first_import_6,time_of_first_import_7,time_of_first_import_8,time_of_first_import_9	proportion_tips_sampled 	time_of_mass_sample	runtime	num_I_at_mass_sample_time	num_extant_sampled
sim79	0,0,0,0,1	3.10082,3.10082,3.10082,3.10082,3.10082,3.10082,3.10082,3.10082,3.10082,3.10082	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000117521,0.000000117521,0.000000117521,0.000000117521,0.000000117521,0.000000117521,0.000000117521,0.000000117521,0.000000117521,0.000000117521	.03716	.00074,.00074,.00074,.00074,.00074,.00074,.00074,.00074,.00074,.00074	499	.00336	100.00000972	71	21.22036970	0,2e-05,1e-05,1e-05,1e-05,2e-05,2e-05,1e-05,2e-05,1e-05:1e-05,0,2e-05,1e-05,1e-05,1e-05,2e-05,1e-05,2e-05,1e-05:2e-05,2e-05,0,1e-05,2e-05,1e-05,2e-05,2e-05,3e-05,1e-05:1e-05,2e-05,2e-05,0,1e-05,2e-05,2e-05,1e-05,3e-05,1e-05:1e-05,2e-05,3e-05,1e-05,0,1e-05,2e-05,1e-05,3e-05,1e-05:1e-05,2e-05,2e-05,2e-05,2e-05,0,1e-05,2e-05,2e-05,1e-05:1e-05,2e-05,2e-05,2e-05,1e-05,1e-05,0,1e-05,2e-05,1e-05:0,3e-05,2e-05,2e-05,2e-05,2e-05,2e-05,0,3e-05,1e-05:1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,2e-05,2e-05,0,1e-05:1e-05,3e-05,1e-05,2e-05,1e-05,1e-05,2e-05,1e-05,2e-05,0	0.000424,0.000794,0.000661,5e-04,0.000542,0.000405,0.000665,0.000449,0.001009,0.000355	18.19041094,30.13518111,38.43258214,14.37255705,37.74691692,31.03952801,14.54798602,28.5259351,0,20.0471168	1	100	100	3991	42
sim80	0,1,0,0,0	3.16220,3.16220,3.16220,3.16220,3.16220,3.16220,3.16220,3.16220,3.16220,3.16220	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000060587,0.000000060587,0.000000060587,0.000000060587,0.000000060587,0.000000060587,0.000000060587,0.000000060587,0.000000060587,0.000000060587	.01542	.00374,.00374,.00374,.00374,.00374,.00374,.00374,.00374,.00374,.00374	499	.00075	100.00000990	20	21.71204538	0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0	6e-06,0.000168,1.6e-05,8e-06,1.5e-05,3.2e-05,1e-06,4.5e-05,0,0	67.12981009,0,35.52869664,8.19707955,53.79679587,46.79476568,69.5245267,26.88259587,88.06397903,80.92830957	1	100	100	203	1
sim83	1,0,0,0,0	2.51486,2.51486,2.51486,2.51486,2.51486,2.51486,2.51486,2.51486,2.51486,2.51486	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000094885,0.000000094885,0.000000094885,0.000000094885,0.000000094885,0.000000094885,0.000000094885,0.000000094885,0.000000094885,0.000000094885	.03493	.00280,.00280,.00280,.00280,.00280,.00280,.00280,.00280,.00280,.00280	499	.00103	100.00000872	45	17.10884514	0,0,0,0,0,1e-05,0,0,0,0:0,0,0,0,0,1e-05,0,0,0,0:0,0,0,0,0,1e-05,0,0,0,0:0,0,0,0,0,1e-05,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,1e-05,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,1e-05,0,0,0,0:0,0,0,0,0,1e-05,0,0,0,0	5.9e-05,1.9e-05,6.6e-05,7e-06,2.9e-05,7e-04,2.4e-05,9.9e-05,0.000139,2e-05	65.20609824,59.94106011,57.23517738,44.44114932,53.50911351,0,65.75778347,44.49417059,38.96164597,67.83692964	1	100	100	738	9
sim86	0,1,0,0,0	6.30656,6.30656,6.30656,6.30656,6.30656,6.30656,6.30656,6.30656,6.30656,6.30656	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000106139,0.000000106139,0.000000106139,0.000000106139,0.000000106139,0.000000106139,0.000000106139,0.000000106139,0.000000106139,0.000000106139	.01406	.00277,.00277,.00277,.00277,.00277,.00277,.00277,.00277,.00277,.00277	499	.00111	100.00000981	135	15.66729081	0,0,0,0,0,0,1e-05,0,3e-05,0:0,0,0,0,0,0,0,0,3e-05,0:0,0,0,0,0,0,1e-05,0,2e-05,0:0,0,0,0,0,0,0,0,3e-05,0:0,0,0,0,0,0,0,0,2e-05,0:0,0,0,0,0,0,0,0,2e-05,0:0,0,0,0,0,0,0,0,2e-05,0:0,0,0,0,0,0,0,0,2e-05,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,1e-05,0,3e-05,0	0.000233,0.000259,0.000141,1e-04,0.000178,0.000107,0.000473,0.000124,0.002228,6.3e-05	50.95189983,36.5253152,59.808932,39.6469645,48.55209753,59.02063929,44.61451087,39.75731613,0,53.78334495	1	100	100	3278	36
sim87	0,0,0,0,1	5.03960,5.03960,5.03960,5.03960,5.03960,5.03960,5.03960,5.03960,5.03960,5.03960	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000115608,0.000000115608,0.000000115608,0.000000115608,0.000000115608,0.000000115608,0.000000115608,0.000000115608,0.000000115608,0.000000115608	.02039	.00255,.00255,.00255,.00255,.00255,.00255,.00255,.00255,.00255,.00255	499	.00070	100.00000997	369	14.93430831	0,0,0,0,6e-05,0,0,0,0,0:0,0,0,0,4e-05,0,0,0,0,0:1e-05,0,0,0,5e-05,0,0,0,0,0:1e-05,0,0,0,5e-05,0,0,0,0,0:1e-05,0,0,0,0,0,0,0,0,0:1e-05,0,0,0,6e-05,0,0,0,0,0:0,0,0,0,6e-05,0,0,0,0,0:0,0,0,0,7e-05,0,0,0,0,0:1e-05,0,0,0,5e-05,0,0,0,0,0:1e-05,0,0,0,6e-05,0,0,0,0,0	0.001242,0.000287,0.000318,0.000245,0.009657,0.00026,0.000134,0.000368,0.00019,0.000226	37.62237431,59.02813759,64.23976471,62.80102022,0,56.24387286,63.96536646,52.41716275,55.1738178,55.9263684	1	100	100	10426	108
sim94	1,0,0,0,0	5.23754,5.23754,5.23754,5.23754,5.23754,5.23754,5.23754,5.23754,5.23754,5.23754	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000111978,0.000000111978,0.000000111978,0.000000111978,0.000000111978,0.000000111978,0.000000111978,0.000000111978,0.000000111978,0.000000111978	.02057	.00081,.00081,.00081,.00081,.00081,.00081,.00081,.00081,.00081,.00081	499	.00146	100.00000959	165	18.29351703	0,0,1e-05,0,1e-05,2e-05,0,0,1e-05,4e-05:1e-05,0,0,0,1e-05,3e-05,1e-05,1e-05,1e-05,4e-05:1e-05,0,0,1e-05,0,2e-05,0,0,0,5e-05:1e-05,0,1e-05,0,1e-05,2e-05,1e-05,0,1e-05,5e-05:1e-05,1e-05,0,0,0,2e-05,0,0,1e-05,5e-05:1e-05,0,0,0,1e-05,0,0,0,0,5e-05:1e-05,1e-05,1e-05,1e-05,0,2e-05,0,0,0,4e-05:1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0,0,1e-05,3e-05:1e-05,0,1e-05,0,1e-05,1e-05,0,1e-05,0,4e-05:1e-05,0,0,0,0,2e-05,0,1e-05,0,0	0.000657,0.000379,0.000379,0.000243,0.00049,0.001786,0.000325,0.000368,0.000506,0.003738	36.88420275,53.30041269,45.60886754,65.33910829,68.67353845,14.51396492,50.40303483,56.74193985,43.46963568,0	1	100	100	7194	91
sim96	0,0,0,0,1	4.66628,4.66628,4.66628,4.66628,4.66628,4.66628,4.66628,4.66628,4.66628,4.66628	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000102238,0.000000102238,0.000000102238,0.000000102238,0.000000102238,0.000000102238,0.000000102238,0.000000102238,0.000000102238,0.000000102238	.01989	.00202,.00202,.00202,.00202,.00202,.00202,.00202,.00202,.00202,.00202	499	.00103	100.00000980	44	16.65071043	0,0,0,0,1e-05,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,1e-05,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,1e-05,0,0,0,0,0:0,0,0,0,1e-05,0,0,0,0,0:0,0,0,0,1e-05,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,2e-05,0,0,0,0,0	2.9e-05,1.2e-05,0.000196,5.7e-05,0.000901,4.9e-05,1.2e-05,1.3e-05,3e-06,0.000279	56.54514706,84.1372078,45.87798202,42.71251256,20.88706521,78.11464085,75.79819036,52.97181404,77.60894878,0	1	100	100	1250	13
sim100	0,1,0,0,0	6.76544,6.76544,6.76544,6.76544,6.76544,6.76544,6.76544,6.76544,6.76544,6.76544	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000090183,0.000000090183,0.000000090183,0.000000090183,0.000000090183,0.000000090183,0.000000090183,0.000000090183,0.000000090183,0.000000090183	.01261	.00072,.00072,.00072,.00072,.00072,.00072,.00072,.00072,.00072,.00072	499	.00467	100.00000969	66	21.47241390	0,3e-05,2e-05,2e-05,2e-05,1e-05,1e-05,2e-05,1e-05,4e-05:2e-05,0,1e-05,2e-05,1e-05,2e-05,1e-05,1e-05,1e-05,3e-05:2e-05,2e-05,0,1e-05,1e-05,1e-05,2e-05,2e-05,2e-05,3e-05:1e-05,2e-05,2e-05,0,1e-05,1e-05,1e-05,2e-05,2e-05,3e-05:3e-05,2e-05,1e-05,1e-05,0,1e-05,2e-05,3e-05,1e-05,2e-05:2e-05,1e-05,2e-05,1e-05,2e-05,0,2e-05,3e-05,0,3e-05:2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,0,3e-05,1e-05,3e-05:2e-05,3e-05,2e-05,1e-05,1e-05,1e-05,2e-05,0,1e-05,3e-05:2e-05,3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0,3e-05:1e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1e-05,1e-05,1e-05,0	0.000379,0.000487,0.000251,0.000327,3e-04,0.000197,0.000287,0.000442,0.000233,0.000595	42.5634116,0,45.13187998,32.97735873,41.87805314,38.9519506,17.67727752,51.21521298,1.66794118,9.98975741	1	100	100	2971	33
sim106	0,0,1,0,0	7.10618,7.10618,7.10618,7.10618,7.10618,7.10618,7.10618,7.10618,7.10618,7.10618	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000096999,0.000000096999,0.000000096999,0.000000096999,0.000000096999,0.000000096999,0.000000096999,0.000000096999,0.000000096999,0.000000096999	.01283	.00082,.00082,.00082,.00082,.00082,.00082,.00082,.00082,.00082,.00082	499	.00046	100.00000987	26	21.79994124	0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0	1e-04,2.3e-05,0.001379,7.6e-05,3e-05,4e-06,2.5e-05,0,2e-06,1.2e-05	46.02231431,67.7597245,0,67.00544543,69.26514103,89.82784941,76.17654903,96.92575007,84.13877924,76.37737198	1	100	100	1405	8
sim114	0,0,1,0,0	4.59812,4.59812,4.59812,4.59812,4.59812,4.59812,4.59812,4.59812,4.59812,4.59812	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000117114,0.000000117114,0.000000117114,0.000000117114,0.000000117114,0.000000117114,0.000000117114,0.000000117114,0.000000117114,0.000000117114	.02427	.00120,.00120,.00120,.00120,.00120,.00120,.00120,.00120,.00120,.00120	499	.00377	100.00000980	86	17.00474760	0,1e-05,2e-05,1e-05,2e-05,1e-05,2e-05,3e-05,1e-05,3e-05:2e-05,0,1e-05,1e-05,2e-05,2e-05,1e-05,3e-05,1e-05,2e-05:1e-05,1e-05,0,2e-05,1e-05,2e-05,1e-05,3e-05,1e-05,3e-05:1e-05,1e-05,1e-05,0,1e-05,2e-05,2e-05,3e-05,1e-05,2e-05:1e-05,1e-05,1e-05,1e-05,0,2e-05,1e-05,3e-05,1e-05,2e-05:1e-05,1e-05,2e-05,1e-05,1e-05,0,2e-05,2e-05,1e-05,3e-05:1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,0,3e-05,1e-05,2e-05:1e-05,2e-05,2e-05,1e-05,1e-05,2e-05,2e-05,0,1e-05,2e-05:2e-05,1e-05,1e-05,2e-05,1e-05,1e-05,2e-05,2e-05,0,3e-05:1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3e-05,1e-05,0	0.000387,0.00037,0.000368,0.000367,0.000411,0.000534,0.000508,0.000852,0.000372,0.000609	26.45116803,31.07382486,44.81098727,37.45811178,31.81221429,0,15.20659067,31.14564384,28.60186686,28.17396584	1	100	100	3741	36
sim118	0,1,0,0,0	6.43070,6.43070,6.43070,6.43070,6.43070,6.43070,6.43070,6.43070,6.43070,6.43070	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000119418,0.000000119418,0.000000119418,0.000000119418,0.000000119418,0.000000119418,0.000000119418,0.000000119418,0.000000119418,0.000000119418	.01790	.00067,.00067,.00067,.00067,.00067,.00067,.00067,.00067,.00067,.00067	499	.00136	100.00000994	431	18.92207381	0,0.00015,3e-05,1e-05,3e-05,3e-05,2e-05,4e-05,1e-05,1e-05:2e-05,0,3e-05,2e-05,2e-05,3e-05,2e-05,3e-05,2e-05,2e-05:3e-05,0.00016,0,1e-05,2e-05,4e-05,2e-05,3e-05,2e-05,2e-05:4e-05,0.00018,3e-05,0,2e-05,4e-05,2e-05,3e-05,2e-05,1e-05:3e-05,0.00015,2e-05,1e-05,0,3e-05,1e-05,2e-05,2e-05,1e-05:3e-05,0.00015,4e-05,2e-05,2e-05,0,2e-05,4e-05,2e-05,2e-05:3e-05,0.00014,3e-05,1e-05,2e-05,3e-05,0,3e-05,2e-05,2e-05:3e-05,0.00015,3e-05,2e-05,2e-05,4e-05,2e-05,0,2e-05,1e-05:2e-05,0.00015,3e-05,1e-05,2e-05,3e-05,2e-05,2e-05,0,1e-05:3e-05,0.00017,3e-05,2e-05,2e-05,3e-05,2e-05,3e-05,2e-05,0	0.002584,0.013443,0.002542,0.001294,0.002072,0.003149,0.001756,0.002752,0.001677,0.001333	36.46950999,0,39.95628258,55.83793483,28.88986969,14.49917949,45.78350435,41.54427426,46.80640684,49.48384627	1	100	100	27657	269
sim119	0,1,0,0,0	5.73362,5.73362,5.73362,5.73362,5.73362,5.73362,5.73362,5.73362,5.73362,5.73362	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000102631,0.000000102631,0.000000102631,0.000000102631,0.000000102631,0.000000102631,0.000000102631,0.000000102631,0.000000102631,0.000000102631	.01495	.00295,.00295,.00295,.00295,.00295,.00295,.00295,.00295,.00295,.00295	499	.00182	100.00000968	177	15.81138737	0,1e-05,0,0,0,1e-05,2e-05,1e-05,2e-05,0:1e-05,0,0,0,0,2e-05,2e-05,0,1e-05,0:0,2e-05,0,0,0,1e-05,2e-05,0,1e-05,0:0,1e-05,0,0,0,2e-05,2e-05,0,2e-05,0:0,1e-05,0,0,0,1e-05,2e-05,0,2e-05,0:1e-05,2e-05,0,0,0,0,2e-05,0,2e-05,0:0,2e-05,0,0,0,1e-05,0,0,2e-05,0:0,1e-05,0,0,0,1e-05,1e-05,0,2e-05,0:0,1e-05,0,0,1e-05,2e-05,1e-05,1e-05,0,0:0,1e-05,0,0,0,1e-05,1e-05,0,2e-05,0	0.000325,0.00073,0.000116,0.000163,0.000274,0.000795,0.000932,0.000317,9e-04,0.000145	50.84785681,10.50199239,33.2761387,63.44766226,51.58452349,0,20.18550505,51.26355582,24.51269109,56.26161437	1	100	100	3902	39
sim122	0,1,0,0,0	3.71702,3.71702,3.71702,3.71702,3.71702,3.71702,3.71702,3.71702,3.71702,3.71702	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000070028,0.000000070028,0.000000070028,0.000000070028,0.000000070028,0.000000070028,0.000000070028,0.000000070028,0.000000070028,0.000000070028	.01674	.00210,.00210,.00210,.00210,.00210,.00210,.00210,.00210,.00210,.00210	499	.00265	100.00000878	28	24.62355773	0,0,0,0,0,0,1e-05,0,1e-05,0:0,0,0,0,0,0,0,0,1e-05,1e-05:0,0,0,0,1e-05,0,0,0,0,0:0,0,0,0,0,0,0,0,1e-05,0:0,0,0,0,0,0,0,0,1e-05,0:0,0,0,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,1e-05,1e-05:0,0,0,0,0,0,0,0,1e-05,0:0,0,0,0,0,0,0,1e-05,0,0:0,0,0,0,0,0,0,0,1e-05,0	3.8e-05,6.6e-05,6.7e-05,4e-05,8.6e-05,5e-05,7.1e-05,8.6e-05,0.000171,7.7e-05	48.52750204,17.80965452,49.87551879,50.79339659,36.72173861,19.15127205,13.32171446,14.07328424,0,19.66542098	1	100	100	572	7
sim123	0,0,0,1,0	2.67806,2.67806,2.67806,2.67806,2.67806,2.67806,2.67806,2.67806,2.67806,2.67806	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000107524,0.000000107524,0.000000107524,0.000000107524,0.000000107524,0.000000107524,0.000000107524,0.000000107524,0.000000107524,0.000000107524	.03548	.00467,.00467,.00467,.00467,.00467,.00467,.00467,.00467,.00467,.00467	499	.00178	100.00000872	85	12.64325588	0,0,0,1e-05,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,0,0:0,0,0,2e-05,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,0,0:0,0,0,1e-05,0,0,0,0,1e-05,0	7.2e-05,3.9e-05,4.7e-05,0.000653,5.8e-05,1.8e-05,6.2e-05,0.000196,0.000262,3.2e-05	62.22354336,37.50460824,43.6441161,0,52.14842863,43.58437305,61.93785587,46.97828112,33.44361041,13.71849048	1	100	100	904	15
sim124	0,0,1,0,0	4.66094,4.66094,4.66094,4.66094,4.66094,4.66094,4.66094,4.66094,4.66094,4.66094	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000110697,0.000000110697,0.000000110697,0.000000110697,0.000000110697,0.000000110697,0.000000110697,0.000000110697,0.000000110697,0.000000110697	.02096	.00279,.00279,.00279,.00279,.00279,.00279,.00279,.00279,.00279,.00279	499	.00242	100.00000977	499	17.50708461	0,8e-05,1e-04,5e-05,3e-05,6e-05,4e-05,5e-05,3e-05,3e-05:6e-05,0,0.00012,5e-05,5e-05,4e-05,3e-05,5e-05,3e-05,3e-05:6e-05,7e-05,0,6e-05,4e-05,5e-05,4e-05,3e-05,2e-05,3e-05:6e-05,8e-05,0.00011,0,3e-05,4e-05,4e-05,4e-05,3e-05,3e-05:5e-05,6e-05,0.00014,5e-05,0,5e-05,3e-05,5e-05,3e-05,4e-05:6e-05,7e-05,0.00013,5e-05,5e-05,0,3e-05,6e-05,3e-05,4e-05:7e-05,6e-05,0.00012,4e-05,4e-05,5e-05,0,4e-05,3e-05,4e-05:5e-05,6e-05,0.00011,5e-05,3e-05,6e-05,4e-05,0,3e-05,3e-05:6e-05,9e-05,0.00012,5e-05,3e-05,4e-05,4e-05,5e-05,0,3e-05:6e-05,7e-05,0.00011,4e-05,4e-05,6e-05,4e-05,5e-05,3e-05,0	0.002626,0.003355,0.00556,0.00239,0.001748,0.002643,0.001737,0.002177,0.001306,0.001629	12.86351504,6.4727912,0,6.60558624,21.55990058,15.17898174,34.94820076,12.50409772,21.27032287,20.03479431	0.583626	100	100	19721	108
sim127	0,0,1,0,0	3.64082,3.64082,3.64082,3.64082,3.64082,3.64082,3.64082,3.64082,3.64082,3.64082	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000100632,0.000000100632,0.000000100632,0.000000100632,0.000000100632,0.000000100632,0.000000100632,0.000000100632,0.000000100632,0.000000100632	.02693	.00071,.00071,.00071,.00071,.00071,.00071,.00071,.00071,.00071,.00071	499	.00066	100.00000506	24	22.59569767	0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,0,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0:0,0,1e-05,0,0,0,0,0,0,0	6e-06,1.5e-05,0.001099,8e-06,2.9e-05,4e-06,2.6e-05,7.6e-05,9.7e-05,9.9e-05	72.63033039,69.82982806,0,68.64766953,53.26108277,78.96819229,69.47401566,45.55454284,39.56375584,55.96333511	1	100	100	1045	6
sim129	0,0,0,0,1	3.92468,3.92468,3.92468,3.92468,3.92468,3.92468,3.92468,3.92468,3.92468,3.92468	1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000	0.000000120683,0.000000120683,0.000000120683,0.000000120683,0.000000120683,0.000000120683,0.000000120683,0.000000120683,0.000000120683,0.000000120683	.02795	.00280,.00280,.00280,.00280,.00280,.00280,.00280,.00280,.00280,.00280	499	.00433	100.00000976	57	14.44032561	0,0,0,0,1e-05,0,1e-05,1e-05,0,1e-05:0,0,0,0,1e-05,1e-05,1e-05,0,0,0:0,1e-05,0,1e-05,1e-05,0,1e-05,1e-05,0,1e-05:1e-05,1e-05,0,0,1e-05,1e-05,1e-05,1e-05,0,0:1e-05,1e-05,0,0,0,0,0,1e-05,1e-05,0:1e-05,1e-05,0,0,1e-05,0,1e-05,0,0,1e-05:1e-05,1e-05,0,0,1e-05,0,0,1e-05,1e-05,1e-05:1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,0,0,1e-05:1e-05,1e-05,0,0,1e-05,0,1e-05,0,0,0:1e-05,0,0,1e-05,1e-05,0,1e-05,1e-05,0,0	0.000122,0.000191,5.1e-05,9.4e-05,0.000203,8.4e-05,0.000232,0.000229,0.000116,0.000134	28.35467131,35.68430301,37.73888516,44.89541928,32.47708329,30.17488133,0,32.24372609,42.71978282,36.19315348	1	100	100	1036	5
